phylum ,node 
Cyanobacteria,348
Armatimonadota,367
Firmicutes,366
Gemmatimonadota,423
Verrucomicrobiota,503
Plactomycetota,538
Myxococcota_A,346
Actinobacteriota,375
Acideobacteriota,599
Proteobacteria,602
Bdellovibrionota_C,689
Bacterioidota,424
